icao_address,mictronics_reg,adsbx_reg
C018BE,C-FJJP,C-JJP
C01A0D,C-FJWM,C-JWM
C01A30,C-FJXV,C-JXV
C01B73,C-FKKG,C-KKG
C01E89,C-FLOQ,C-LOQ
C01E8F,C-FLOW,C-LOW
C01EAA,C-FLPX,C-LPX
C0222B,C-FMYK,C-MYK
C02301,C-FNGQ,C-NGQ
C0235E,C-FNKF,C-NKF
C0236E,C-FNKV,C-NKV
C023BC,C-FNNV,C-NNV
C023E9,C-FNPO,C-NPO
C02525,C-FOBS,C-OBS
C0261F,C-FOLI,C-OLI
C02734,C-FOVZ,C-OVZ
C02866,C-FPHT,C-PHT
C0295D,C-FPRG,C-PRG
C029B6,C-FPUR,C-PUR
C02C26,C-FQSR,C-QSR
C02CD9,C-FQZO,C-QZO
C02CE7,C-FRAC,C-RAC
C02E31,C-FRMU,C-RMU
C02EAE,C-FRRP,C-RRP
C02F5F,C-FRYK,C-RYK
C02FAC,C-FSBJ,C-SBJ
C031E0,C-FSXB,C-SXB
C0321E,C-FSZL,C-SZL
C03345,C-FTKU,C-TKU
C033BF,C-FTPM,C-TPM
C0341A,C-FTSZ,C-TSZ
C0355E,C-FUFL,C-UFL
C0374B,C-FUYK,C-UYK
C03798,C-FVBJ,C-VBJ
C03906,C-FVPL,C-VPL
C03934,C-FVRF,C-VRF
C03B9E,C-FWOZ,C-WOZ
C03BB6,C-FWPX,C-WPX
C03DA4,C-FXIX,C-XIX
C03DD9,C-FXKY,C-XKY
C03E0E,C-FXMZ,C-XMZ
C03F0E,C-FXWV,C-XWV
C03F40,C-FXYT,C-XYT
C03F9D,C-FYCI,C-YCI
C0401E,C-FYHH,C-YHH
C0412E,C-FYRT,C-YRT
C041D2,C-FYYB,C-YYB
C04283,C-FZEW,C-ZEW
C00166,C-FANT,C-ANT
C00289,C-FAYY,C-AYY
C00526,C-FBYR,C-BYR
C0053B,C-FBZM,C-BZM
C00552,C-FCAJ,C-CAJ
C00593,C-FCCW,C-CCW
C005E8,C-FCGD,C-CGD
C00650,C-FCKD,C-CKD
C0067D,C-FCLW,C-CLW
C0080E,C-FDBH,C-DBH
C00882,C-FDFT,C-DFT
C008A3,C-FDHA,C-DHA
C008B3,C-FDHQ,C-DHQ
C00A2D,C-FDWE,C-DWE
C00B07,C-FEEO,C-EEO
C00B56,C-FEHP,C-EHP
C00B5F,C-FEHY,C-EHY
C00BF2,C-FENP,C-ENP
C00C71,C-FESM,C-ESM
C00E6B,C-FFLY,C-FLY
C00FC4,C-FFZF,C-FZF
C0100D,C-FGCA,C-GCA
C0103D,C-FGDW,C-GDW
C0106C,C-FGFR,C-GFR
C012F6,C-FHER,C-HER
C01847,C-FJFA,C-JFA
C01CBC,C-FKWX,C-KWX
C01CD6,C-FKXX,C-KXX
C01DE8,C-FLIL,C-LIL
C01DFF,C-FLJI,C-LJI
C01F8C,C-FLYP,C-LYP
C02101,C-FMMY,C-MMY
C02212,C-FMXL,C-MXL
C0228E,C-FNCF,C-NCF
C0234D,C-FNJO,C-NJO
C0275D,C-FOXO,C-OXO
C02C70,C-FQVN,C-QVN
C02C97,C-FQXA,C-QXA
C02E14,C-FRLR,C-RLR
C02E77,C-FRPM,C-RPM
C0300D,C-FSFC,C-SFC
C0319B,C-FSUK,C-SUK
C03346,C-FTKV,C-TKV
C034C9,C-FTZS,C-TZS
C03535,C-FUDW,C-UDW
C03615,C-FUMM,C-UMM
C03659,C-FUPC,C-UPC
C03874,C-FVJV,C-VJV
C038EA,C-FVOJ,C-VOJ
C03922,C-FVQN,C-VQN
C03A70,C-FWDJ,C-WDJ
C03AD2,C-FWHD,C-WHD
C03C2D,C-FWUM,C-WUM
C03C9C,C-FWYT,C-WYT
C03D46,C-FXFH,C-XFH
C03F39,C-FXYM,C-XYM
C03FE4,C-FYFB,C-YFB
C04028,C-FYHR,C-YHR
C04062,C-FYJX,C-YJX
C040B2,C-FYMZ,C-YMZ
C04224,C-FZBF,C-ZBF
C042FD,C-FZJO,C-ZJO
C0049F,C-FBTM,C-BTM
C004CB,C-FBVE,C-BVE
