icao_address,mictronics_reg,adsbx_reg
C0358B,C-FUHE,C-UHE
C03676,C-FUQF,C-UQF
C036EB,C-FUUS,C-UUS
C03708,C-FUVV,C-UVV
C03717,C-FUWK,C-UWK
C03794,C-FVBF,C-VBF
C03999,C-FVVC,C-VVC
C03B0A,C-FWJH,C-WJH
C03C19,C-FWTS,C-WTS
C03C5B,C-FWWG,C-WWG
C03E42,C-FXOZ,C-XOZ
C03F36,C-FXYJ,C-XYJ
C0408A,C-FYLL,C-YLL
C0415B,C-FYTM,C-YTM
C04183,C-FYVA,C-YVA
C0420B,C-FZAG,C-ZAG
C043CA,C-FZRL,C-ZRL
C0442F,C-FZVI,C-ZVI
C00173,C-FAOG,C-AOG
C0033A,C-FBFT,C-BFT
C003AF,C-FBKG,C-BKG
C004A0,C-FBTN,C-BTN
C00511,C-FBXW,C-BXW
C00624,C-FCIL,C-CIL
C00652,C-FCKF,C-CKF
C0069F,C-FCNE,C-CNE
C007B8,C-FCXZ,C-CXZ
C007BA,C-FCYB,C-CYB
C00A83,C-FDZM,C-DZM
C00B59,C-FEHS,C-EHS
C00B74,C-FEIT,C-EIT
C00B89,C-FEJO,C-EJO
C00BEE,C-FENL,C-ENL
C00D27,C-FEZM,C-EZM
C00D5A,C-FFBL,C-FBL
C00D8A,C-FFDH,C-FDH
C00E81,C-FFMU,C-FMU
C010E1,C-FGKE,C-GKE
C01132,C-FGNH,C-GNH
C011A7,C-FGRU,C-GRU
C014DE,C-FHXL,C-HXL
C01509,C-FHZC,C-HZC
C01A42,C-FJYN,C-JYN
C01AD4,C-FKED,C-KED
C01B4A,C-FKIR,C-KIR
C01B7D,C-FKKQ,C-KKQ
C01BB7,C-FKMW,C-KMW
C01DFD,C-FLJG,C-LJG
C01E3A,C-FLLP,C-LLP
C01E81,C-FLOI,C-LOI
C01EFA,C-FLSZ,C-LSZ
C01FB6,C-FMAF,C-MAF
C0258F,C-FOFU,C-OFU
C026CF,C-FOSC,C-OSC
C02B13,C-FQIC,C-QIC
C02B3C,C-FQJR,C-QJR
C02B7F,C-FQMG,C-QMG
C02CA7,C-FQXQ,C-QXQ
C02CD8,C-FQZN,C-QZN
C02D0F,C-FRBQ,C-RBQ
C02EBE,C-FRSF,C-RSF
C02F54,C-FRXZ,C-RXZ
C03083,C-FSJQ,C-SJQ
C031E1,C-FSXC,C-SXC
C036DA,C-FUUB,C-UUB
C036ED,C-FUUU,C-UUU
C0390F,C-FVPU,C-VPU
C039C0,C-FVWP,C-VWP
C03B70,C-FWNF,C-WNF
C03BE3,C-FWRQ,C-WRQ
C03C43,C-FWVI,C-WVI
C03C86,C-FWXX,C-WXX
C03CA4,C-FWZB,C-WZB
C03E05,C-FXMQ,C-XMQ
C03E3B,C-FXOS,C-XOS
C03EC1,C-FXTW,C-XTW
C03EFD,C-FXWE,C-XWE
C03F29,C-FXXW,C-XXW
C0422B,C-FZBM,C-ZBM
C0444D,C-FZWM,C-ZWM
A22163,YV2991,N23615
AD566D,N959GM,N959DM
ACFCCC,N936J,N936JS
A58C29,N527AM,N457AM
A741DD,N576KS,N567KS
A9CA49,PR-WIW,N73SG
AA118B,N748PB,N748PD
AB0A3E,PS-VIA,N810KA
A9523C,N75AG,N70AG
AAAFF8,N780TS,N788TS
ACDC28,928CV,N928CV
AA4A4F,N762PC,N762PV
AC3B32,N887Q,N8877Q
A3E57A,N350TD,N350GY
A14C13,5H-ZOG,N183CR
A36C2D,PR-MNB,N32CD
A6188E,N493LP,N492LP
A4081D,N339VF,N359VF
AC4FD8,N892Q,N8925Q
A460D1,N3818P,N381UP
A5DBE8,N447JE,N477JE
A651E9,3933,N506TF
ACD99A,N927QQ,N927QS
AB3F28,HB-XXW,N82358
A4C708,N407EN,N407EB
AD763B,N976AV,N967AV
A374F4,D2-EWK,N3214J
A76A14,N557TA,N577TA
A9AE19,N7224X,N7225Z
A35E75,N3161PW,N316PW
A2F205,N285R,N28917
A9C557,N792DS,N729DS
ACB0B6,N917KA,N917AK
A58FD5,YV2923,N458AA
A026F8,XA-KMJ,N109JN
A217CB,N243EL,N234EL
A2BE7D,N267TP,N276TP
AB02DF,N80809,N80867
A1AC51,YV3015,N207DB
AC6F2D,XA-TSN,N900AA
A55C3C,N4442B,N4443B
A21B19,N253AF,N235AF
A291D7,N26CW,N265CW
A4F300,C6-JAY,N418MW
A65086,N514CJ,N506DA
AC641F,PR-BON,N898M
ACC5DC,5Y-ELG,N922CT
A33237,F-,N305DG
A087D3,N138RF,N133RF
AB125B,N182SA,N812SA
A0558E,PP-MLM,N120VA
A0C95A,A2-MBR,N15RN
A7C599,N60HS,N60HD
A7F1D0,92-0369,N6105L
AB88C6,N824RH,N842RH
AB9418,ZP-BRG,N845TC
AC0FA7,N8675,N8765
A17431,1933,N193K
A45F13,235,N381AT
A51A88,PR-CDV,N428NE
A600DA,5H-HAD,N486WC
A0AF8E,N142TR,N143TR
ABEE6C,N868VC,N868VB
AC71BA,1535,N9001U
A28A57,B-9772,N263CC
A935F8,N963BD,N693BD
A1A962,CC-ATJ,N206MB
A24B19,N247MI,N247MF
A30D4C,N269RS,N296RS
A7C5AD,N602LF,N60HZ
A9079F,N761HB,N681HB
AB0F9A,YV3007,N8111M
A66057,N52NW,N51NW
A7ED29,N61HE,N61HW
A31A54,N30PX,N29975
A99DAF,N719GA,N719CA
ACDDCD,N928BT,N928VR
A36EFB,N360GW,N320GW
A75DA2,N574D,N574DT
AD67A7,169327,N963DS
A04E73,N1199JJ,N119JJ
A1B502,N208GA,N209S
ADBDEE,N985CC,N985CE
A4ABC3,N156MG,N40RD
A589F7,PR-TET,N456SA
A9290B,LV-COU,N69GZ
AC13D6,N878Q,N8778Q
A1954B,N20067,N20065
A52AC7,N423CJ,N432CJ
AA1BA7,PR-NJT,N750SP
AD7284,N966V,N966AV
A3538F,N353SJ,N313SJ
A9BA2E,N762DN,N726DN
A14CD2,N183BZ,N183LG
4BAF55,TZ-KZU,TC-KZU
49D097,OK-WHR,OK-ROM
4D21B7,9H-BDONE,9H-UEC
00B612,ZS-BGO,ZS-ULT
3542C5,T.18-5,T18-5
3542C3,T.18-3,T18-3
4A9149,SE-DJJ,SE-DJI
0D0772,XA-ALB,XA-BAL
341390,T.18-1,T18-1
3542C4,T.18-4,T18-4
7C81F7,ZH-ZYH,VH-ZYH
A9CB09,N7322,N73ZZ
A276CA,PP-OLE,N258SD
A209C6,YV573T,N230PA
A6D604,N56EN,N54EN
A4041D,PP-HRK,N358SH
A7E6EB,XB-VOS,N608W
ACBC21,YV2940,N92DE
3008AE,I-SVCT,I-PBNB
341391,T.18-2,T18-2
4D2105,9H-EBL,9H-LXR
0D0ABC,XA-SCR,XA-TFR
354556,T.22-2,T22-2
354555,T.22-1,T22-1
49D336,OK-OEL,OK-OWN
A18B7E,N190VJ,N199VJ
A52CE7,N430C,N4320C
A65D56,N589WC,N509WC
A9838C,N712BH,N712AS
AA8EF0,N98HV,N78HV
ACF510,N94FP,N934FP
A21549,N223SV,N233SV
A8EABB,N647BP,N674BP
ACAA86,N281CC,N915PC
440418,OE-GAB,OE-LYW
4402BC,OE-HIT,OE-LOI
4D20FF,9H-WMR,9H-HUE
4D2165,9H-EXEI,9H-TJG
A28447,XA-RCF,N261SC
A1954D,HS-BTM,N20067
440325,OE-LGG,OE-GBR
4D2171,9H-RRC,9H-ELI
4D0296,LX-HMC,LX-SHS
4D029E,LX-JPA,LX-OLA
A570B8,XA-ABD,N45KV
AB27DF,PR-BTZ,N818JC
A712B4,PP-VVB,N555HG
4D2145,9H-WZC,9H-CGH
4D0230,LX-NYX,LX-AMB
44048C,OE-FNB,OE-HSN
AC1BFE,HK-4897,N88FE
4401D7,OE-XKN,OE-LEM
4D215F,9H-1MMG,9H-LDN
AA15AB,N749TF,N749TJ
3B77CB,071,64-IE
4D0297,LX-MCE,LX-SIX
4D20F3,9H-WMM,9H-BSA
3B77CA,072,64-IF
3B77C8,107,64-IH
3B77CF,111,64-II
3B77C5,123,64-IM
3B77C7,128,64-IK
3B77C6,129,64-IL
A74CF7,HP-18BLM,N57KF
49D2E0,OK-POD,OK-PCD
43EBC1,2-OTNN,2-LIVE
A04F7E,PT-TCG,N119VA
3B77D8,160,64-IS
3B77D7,165,64-IT
3B76AD,193,64-HA
3B76AC,194,64-HB
3B76AB,195,64-HC
3B76AA,196,64-HD
3B76A9,197,64-HE
3B76A8,198,64-HF
3B76A7,199,64-HG
3B76A6,200,64-HH
3B77D0,045,64-IB
3B7BA7,F-ZAJB,F-ZBPD
8980EF,P2-PHO,VH-DTY
3B75ED,5874,61-PQ
3B7530,R-RBGA,18
71C536,HL8537,HL8536
3B77E7,5836,61-PO
00A153,ZS-MPM,ZU-MJR
3B7710,4588,61-PM
3B771C,5114,61-PA
3B771B,5116,61-PB
3B771A,5119,61-PC
3B7719,5140,61-PD
3B7718,5142,61-PE
3B7717,5144,61-PF
3B7716,5150,61-PG
3B7715,5151,61-PH
3B7714,5152,61-PI
3B7713,5153,61-PJ
3B7712,5226,61-PK
3B7711,5227,61-PL
5081EA,UR-CHT,UR-UZA
40638A,G-MIHD,G-ZOGG
3B77E6,5847,61-PP
3B75EC,5890,61-PR
3B77CD,065,64-IC
3B77CC,066,64-ID
3B77C3,141,64-IO
3B77DF,152,64-IP
3B77DE,156,64-IQ
3B77D9,158,64-IR
3B77DD,201,702-CA
3B77DC,202,702-CB
3B77DA,204,702-CD
3B77C9,105,82-IG
3AAA98,F-MABY,80
AE6CA4,22563,622563
3B7527,F-RAXG,94
3B7658,096,E-110
00AF24,ZS-RVN,ZU-WNW
49D617,OK-PRK,OK-PRJ
00AEB0,ZS-RRB,ZU-LCG
008D57,ZS-FAS,ZS-SOD
440049,OE-LCP,OE-XNA
AE21DC,83-23662,842402
AE63D2,65-10324,22-46102
E80670,C-54,CC-AET
C011CC,C-FGTF,C-GTF
405355,G-DFRA,G-LSXG
3C54A3,D-AECC,D-AEEC
008239,ZS-AVG,ZS-OFD
0093B6,ZS-HLL,ZS-PYL
040245,ET-BBD,ET-BBB
00AF2C,ZS-RVV,ZT-RFP
480000,PH-KZH,n/a
A60BA5,N489SN,17-01610
AE4D31,168530,168539
48D962,3402,3401
AE010F,94-1569,941569
3571D8,E.27-24,E27-24
AE3FDF,05-27071,06-27071
C008E8,CF-DJR,C-FDJR
00930C,ZS-HEX,ZS-SSR
AA6839,N77RE,N77RV
AE6CF6,19-02914,18-02914
AE6CF5,19-02913,18-02913
E49218,3603,FAB3603
AE690B,20376,710376
43C459,XX325,XX235
505EFA,OM-M747,OM-W108
3B7528,F-RBGI,26
353607,T.21-08,T21-08
3AAC10,0717,F-MJDC
3B7529,F-RBGH,25
3B752C,F-RBGE,22
3B752A,F-RBGG,24
C0356F,C-FUGC,C-UGC
405913,G-OOWS,G-EERR
3B752B,F-RBGF,23
3B752D,F-RBGD,21
AE5D19,162510,164766
AE5D2D,164862,163065
3B770F,F-RAPN,61-PN
C01F2A,C-FLUV,C-LUV
3B752E,F-RBGC,20
ADFD74,910504,91-00507
ADFD73,91-0512,91-00503
ADFD7F,920373,920371
0D0B26,XB-AJA,XC-NNL
3B752F,F-RBGB,19
ADFD79,91-0509,91-00509
ADFD7D,91-0513,91-00513
ADFD7B,91-0511,91-00511
ADFD76,91-0506,91-00506
ADFD71,89-0515,89-00515
3B755D,F-UGEQ,44
C0089B,C-FDGS,C-DGS
00A4C7,ZS-NXM,ZU-IPU
3B7681,F-UHRF,E-46
AE60DD,166387,168677
AE60E6,166686,168686
3B7697,F-ZABV,E-12
009831,ZS-JDO,ZS-EXW
408000,G-UZÃR,G-UZLR
8016F8,CA7110,CA-7110
E49D0E,PS-AMM,PS-NPP
C04F02,C-GDXK,C-GDXX
8016F9,CA7111,CA-7111
00A0D0,ZS-MKL,ZS-AMK
009425,ZS-HPS,ZS-PPG
A966B1,N70464,77-0464
A966B2,N70465,77-0465
AE5918,AE5918,168333
C8062C,ZK-TAC,ZK-FMV
A93240,06-0692,N692BC
A77AE7,08-0581,N581PC
0082B7,ZS-BAC,ZS-LAW
E40172,PP-BCO,TEST
00ADD6,ZS-RIR,ZS-IHT
00ADB2,ZS-RHH,ZU-STO
E40173,PS-RZN,TEST
E40175,PR-JFD,TEST
E40179,PR-REV,TEST
00935C,ZS-HHZ,ZS-KTN
AE21DD,24473,852447
AE21DE,24662,872466
AE21DF,24670,872467
E40177,PR-LHI,TEST
4B83AE,T376,TC-T376
A42094,N385TM,N365TM
4B835F,TCS029,TC-S029
4B83AC,T374,TC-T374
4B83AA,S53,TC-S053
7CFA26,A38-009,A38-015
3543C2,HD.21-17,HD21-17
AE4F74,167033,167032
AE4F6F,167029,167027
881C66,F20-2/52/60447,60447
0094E4,ZS-HXB,ZU-TRX
AE19DB,81-0984,81-0960
E8024D,CC-COT,CC-BLB
06A2F4,A67-BHQ,A7-BHQ
AE6CCE,12-09034,20-03366
00A577,ZS-OEG,ZU-IGT
4401D9,OE-LQO,OE-XMC
49D544,OK-UJD,OK-ADL
40105F,G-MAFF,G-BJED
E40187,PR-TDM,TEST
C08461,G-YDK,C-GYDK
3AABEF,887,F-MMCA
3AABEE,888,F-MMCB
3AABEC,890,F-MMCD
3AABEB,891,F-MMCE
009FE4,ZS-MBJ,ZS-DGG
E40188,PT-TRS,TEST
AE4F17,10-0223,166496
00939F,ZS-HKO,ZS-SBI
0D0897,3931,XB-RSA
A861FF,836,N6393U
ABD417,2612,N861RT
49D062,OK-RDA,OK-TOD
AE5BBF,15-46014,16-46014
4402BE,OE-LOJ,OE-XPT
AE062E,86-00082,86-0082
3FF504,D-MCBY,D-MIVL
AE6CA5,23133,823133
E4018B,PR-LHD,TEST
AE2126,07-27011,2702
AE2125,07-27010,2701
4CAE85,EI-IJF,EI-FFD
E4018C,PR-LHJ,TEST
440309,OE-IZD,OE-XYV
3FED8C,D-MGKB,D-MOOW
3FF30B,D-MBHP,D-MMSI
4D02DF,LX-ROB,LX-PCL
7CAE41,VH-8TY,VH-8PF
3AAB6B,F-MBJM,6013
AE6820,169004,n/a
ADFF6A,68-81??,64-13202
0D8447,YV-3385,YV3385
353606,T.21-07,T21-07
0094C9,ZS-HWA,ZS-FPU
00AF2E,ZS-RVX,ZS-THY
008256,ZS-AWJ,ZS-KPR
AE1953,80-0168,79-0219
C02D2E,CF-RCV,C-FRCV
C013C0,C-FHML,C-HML
C00015,C-FAAV,C-AAU
009A26,ZS-JWV,ZS-WRI
04002B,ET-ANI,ET-ANH
E40194,PR-ZSU,TEST
440146,OE-HBC,OE-DMP
0086E6,ZS-CPH,ZT-RED
C0317E,CF-STH,C-FSTH
3D1149,D-EEUJ,D-EEVJ
008948,ZS-DMT,ZS-OCI
3B77FB,F-RADA,F-UGSO
AE67F4,6004,n/a
008396,ZS-BIR,ZS-MLE
AE4CF2,0708747,07-08747
AE6783,169346,n/a
E4019F,PR-LLQ,TEST
0085B8,ZS-CDR,ZS-SJU
00866C,ZS-CKP,ZS-HIB
0083B2,ZS-BJT,ZS-MGV
008950,ZS-DNB,ZT-RDA
0093A2,ZS-HKR,ZS-LTD
C0346F,C-FTWG,C-TWG
3B75F0,709FQ,15
3B75F4,709FM,11
3B75F7,709FJ,08
E4019C,PR-JED,TEST
00B031,ZS-SFW,ZS-YZC
AE0941,61-2667,86-0080
AE4CEB,09-0044,09-08070
E48765,PR-LDH,PP-DSS
AE1902,79-0136,79-0094
008EC0,ZS-FOP,ZS-OFG
43EA87,M-MAXX,M-CNZI
AE0942,73-01208,73-1208
4030E2,G-BSBG,G-NWHF
00B085,ZS-SJC,ZT-HCT
00AFEC,ZS-SDF,ZS-NID
C80209,ZK-CSQ,ZK-TOK
440286,OE-DVL,OE-ASO
440C2D,OE-VLC,OE-DLC
E4893E,PP-LOS,PS-CHF
3FEDC1,D-MWOJ,D-MELO
3FF2CE,D-MMZC,D-MOKD
AE5FA4,11-46057,19-46057
353601,T.21-02,T21-02
E401A7,PR-JDX,TEST
E40088,6052,FAB6052
488068,SP-0064,SP-ADI
E40089,6053,FAB6053
4D203C,9H-AFQ,9H-OFX
3FF076,D-MNMB,D-MVCG
400DF9,G-VANA,G-IPPS
E88007,ZP-TOE,ZP-TAZ
4D201E,9H-AEH,9H-WNQ
0D0877,GN-403,XC-OPF
AED60D,22-14533,21-14533
E401A4,PT-TBI,TEST
4866DF,PH-YLK,PH-YHX
4D203D,9H-AFR,9H-CAH
3474D3,HE.26-34A,HE26-34A
C00983,C-FDPQ,C-DPQ
E401A5,PR-LKL,TEST
AE6A6E,20-1101,201101
901009,EM-707,E5-EFS
AE6A6F,20-1102,201102
40269D,G-OCST,G-OSAF
3533C2,HT.21A-02,HT21A-02
4D2035,9H-AFJ,9H-NEH
AE1103,165484,01-3615
46A60F,SK-IPO,SX-IPO
44028D,OE-LYU,OE-XHB
600039,EK76345,76310
4401EA,OE-IHD,OE-LOW
AE59A0,13-08415,13-08135
AE18E1,78-0709,78-0683
C82A0C,ZK-ROW,ZK-SDA
3FF66F,D-MUSJ,D-MIGV
AE54C2,14-00065,14-00064
AE54C3,14-00066,14-00065
AE54C4,14-00067,14-00066
AE54C5,14-00068,14-00067
ABA93F,N897CA,N850VM
5140BD,4L-GEQ,4L-GEG
3AABF4,2631,F-MCAD
0092FA,ZS-HEF,ZS-CWT
502D6B,YL-EVO,YL-TIM
AF8420,22-1007,22-1011
00AF32,ZS-RWB,ZU-VDB
897005,H4-OTA,H4-SAL
8016E5,CA7106,CA-7106
8016E6,CA7107,CA-7107
347415,HE.26-44A,EC-918
402248,G-NROY,G-FDDB
0D8365,YV642T,YV2973
AE1B02,166650,166649
06A24B,A7-MAI,212
00B092,ZS-SJP,ZS-AKF
E40086,6050,FAB6050
AE63CF,64-13206,22-46099
0A809E,C6-BUS,C6-PAK
35360A,T.21-12,T21-12
E88112,ZP-BFE,ZP-GNH
00AD65,ZS-REI,ZU-CCG
3B75F2,709FO,13
3B75EE,709FS,17
3B75F1,709FP,14
3B75F5,709FL,10
3B75F8,709FI,07
3B75FA,709FG,05
3B75FB,709FF,04
3B75FD,709FD,02
008E19,ZS-FIE,ZS-EXS
AF3BDD,170758,170756
008D4B,ZS-FAG,ZU-ADB
44028F,OE-LVN,OE-CCE
009FA4,ZS-LYX,ZU-KAI
0093BA,ZS-HLP,ZU-MIH
00B086,ZS-SJD,ZU-DFU
00AE6D,ZS-ROM,ZS-YZD
00895B,ZS-DNM,ZS-BPD
009295,ZS-HAI,ZS-ONV
0A8023,C6-AWO,C6-SDA
511122,44 BLACK,44
00912C,ZS-GML,ZS-NFI
A64266,N02LP,N502LP
0D003F,TP-02,3529
801522,CA7105,CA-7105
C02C3D,C-FQTO,CF-QTO
783132,783132,6181
E483BB,2591,FAB2591
00A6A7,ZS-OPY,ZU-IVP
009E06,ZS-LIZ,ZS-SZG
00935E,ZS-HIB,ZS-MYX
E40144,2585,FAB2585
00810A,ZS-AJP,ZS-FFX
009F52,ZS-LVT,ZS-DVT
49C2F1,OK-KU81,OK-KUU81
3B75EF,709FR,16
3B75F3,709FN,12
3B75F6,709FK,09
3B75F9,709FH,06
3B75FC,709FE,03
3B75FE,709FC,01
009062,ZS-GER,ZS-MKI
7C021B,VH-A09,VH-AO9
C0121B,CF-GWG,C-FGWG
008DC6,ZS-FEZ,ZS-LVW
00A59D,ZS-OFS,ZU-WHO
3005B5,I-EAAB,I-SKYP
009215,ZS-GVK,ZS-LJC
AE2F31,98-25382,00-25382
80150B,CA7101,CA-7101
0D09F0,XB-HXM,XA-VGV
0AC31E,FAC1190,FAC-1190
0095DE,ZS-IGR,ZS-JXD
00A120,ZS-MNN,ZS-ZWX
009AD8,ZS-KDR,ZS-SZF
0A8065,C6-HOT,C6-HOP
008F7C,ZS-FVV,ZT-RNA
008F4A,ZS-FTX,ZU-SRK
3B7F74,F-ZADS,E80
AE0ABD,99-26843,99-26839
0D104E,XB-DMR,XB-IAG
009272,ZS-GYZ,ZS-YTB
7A4298,30720,30470
440176,OE-IJF,OE-FAQ
E401AE,PT-EEH,TEST
AE5992,12-08414,11-08414
AE509E,10-80264,08-00264
AE509D,10-80263,08-00263
404F6C,G-LUDM,G-CMYV
00B057,ZS-BLA,ZU-JAP
8016E7,CA7108,CA-7108
AC0A69,05-0646,N875RJ
AE195E,80-0181,80-0152
0D0A22,TPH-02,ANX-2241
AE19A9,80-0275,87-24749
4D029F,LX-AVT,LX-SFA
00904D,ZS-GDW,ZS-KGW
881BD4,B.F16-19/47,F16K-19/47
881BD2,B.F16-17/47,F16K-17/47
4401DE,OE-FSL,OE-IKG
4400E5,OE-EGA,OE-KPJ
009400,ZS-HOH,ZU-LIP
00A3B6,ZS-ZMN,ZS-NMZ
881BD3,B.F16-18/47,F16K-18/47
009618,ZS-IIX,ZT-REH
3FF0CB,D-MDIC,D-MYDE
4912C9,D2-ANH,CS-DVI
0C21D6,HP18BLM,HP-18BLM
008CF4,ZS-EWX,ZS-HJB
008DAC,ZS-FDZ,ZS-MEE
0089C6,ZS-DRP,ZS-RGS
398C3C,27AAB,F-JWZB
0C404F,7500,FAD7500
008A2A,ZS-DVL,ZS-PEB
008941,ZS-DMM,ZT-RZS
3B7BA9,F-ZAEA,F-ZBQQ
AE4B44,164539,161539
00A840,ZS-PFR,ZS-ODF
440216,OE-FMU,OE-7166
E8CFC8,FAP-453,453
00A141,ZS-MOU,ZS-MOC
0092D2,ZS-HCR,ZS-ODI
404EED,G-SKLR,G-PDPD
00AF36,ZS-RWF,ZU-PUR
00AF35,ZS-RWE,ZU-IXF
0BE2B0,JDFT-11,JDF-T-11
008B25,ZS-EFC,ZU-MFA
00AF3C,ZS-RWL,ZU-YES
3FEDF2,D-MPDM,D-MULL
0D0D01,XB-KEO,XB-RTO
00B035,ZS-SGA,ZS-YZB
440126,OE-FGN,OE-XVU
C00A24,C-FDVV,C-DVV
C0275C,C-FOXN,C-OXN
009812,ZS-JCJ,ZS-RFD
00847D,ZS-BRO,ZS-ORP
3FF57D,D-MOLI,D-MCPM
00A77F,ZS-OYG,ZU-STR
00A609,ZS-OJW,ZU-MYX
A75DD8,N574FS,N574FX
C02D3D,C-FRDK,C-RDK
881BD5,B.F16-20/47,F16K-20/47
424C82,M-TATI,M-ABTC
A803CD,835,N6151A
4401B3,OE-IIB,OE-EKZ
6823C0,JU-1789,JU-1700
3B7B8A,F-ZBCJ,F-ZBQS
381B9A,F-WWLV,F-WWLU
A77ED7,N58CX,N582RK
3B7766,0065,F-RBAM
3B7765,0073,F-RBAN
8002D8,K2664,K12664
C0347D,8Q-TAE,C-FTWU
008267,ZS-AXA,ZS-OFU
3F992B,50+43,30+83
E49555,3604,FAB3604
009650,ZS-ILB,ZS-MNK
C00018,C-FAAY,C-FAAX
155C7F,89215,RA-89215
AE4AEC,09-0018,19-0018
406DA2,G-ARXN,G-VICA
AE63D7,66-8402,22-46107
00AD7D,ZS-RFG,ZU-STH
008FA2,ZS-FXH,ZS-IHI
48448E,P4-DBB,P4-JAR
00AF83,ZS-RZE,ZU-ALS
ADFEE1,87-0161,87-00161
0D0BF2,XC-BPF,PF-305
484359,P4-JAR,P4-KHA
AE23AA,10-09006,11-09011
00A12F,ZS-MOC,ZS-ZOR
00AFDC,ZS-SCP,ZT-RFW
00928C,ZS-GZZ,ZS-DMX
009162,ZS-GON,ZT-HZZ
00A2B1,ZS-NCY,ZT-HKZ
009836,ZS-JDT,ZS-ARN
00A0F5,ZS-MLW,ZS-HRT
49D05B,OK-PEB,OK-SEE
00AEB9,ZS-RRK,ZS-CMR
4401BE,OE-FAC,OE-CDV
AE03FC,84-0176,84-00176
00933E,ZS-HGV,ZS-DRK
E40123,2580,FAB2580
AE0CB0,83-23898,84-23940
AE624F,69-6668,71-58277
801520,CA7103,CA-7103
04C20E,1806,KAF1806
3B7F76,F-ZWTB,301
00A8C4,ZS-PKT,ZU-OWL
43EB4A,2-MATO,2-PUBS
3B76A3,2770,F-UGSG
AE6790,169561,n/a
0AC138,FAC1184,FAC-1184
800E0C,K2679,KA2679
800DBE,K2675,KA2675
0D07D5,ANX-1207,ANX-1201
49D1AA,OK-PRG,OK-NGX
AE53F9,168689,168339
E01645,T-04,ARG-02
AE63D0,64-13265,22-46100
AE63D4,65-10418,22-46104
AE63D5,65-10419,22-46105
AE1B9D,166898,166896
AE63D6,65-10442,22-46106
4D2389,9H-FJX,9H-JFX
009739,ZS-IUA,ZS-KNC
0097A3,ZS-IYC,ZS-REY
00B017,ZS-SEW,ZS-YBG
48D017,SP-WAY,SP-PBI
43C5C5,ZF511,ZH898
E483BA,2590,FAB2590
00B067,ZS-SHY,ZU-JAI
89602B,1208,1213
49C12E,OK-PIN,OK-UUS99
3B7771,0008,F-RBAB
AE5DE7,14-01011,16-03106
4401B1,OE-IIC,OE-FDC
0AC9D4,PNC0250,PNC-0250
3B776C,0019,F-RBAG
AF3BDE,170756,170758
80151F,CA7102,CA-7102
0AC7EA,FAC4419,FAC4019
00933C,ZS-HGT,ZS-PZN
00891D,ZS-DLC,ZS-DMI
009F2F,ZS-LUK,ZU-OMG
3B7FB4,F-ZJAI,579
4D2023,9H-AEM,9H-ENB
009212,ZS-GVH,ZU-SMI
683250,09RED,09
60181A,21 BLUE,21
E2007E,LV-S070,LV-S067
601819,20 BLUE,20
507C63,UK-13007,UK13007
3B7772,0007,F-RBAA
008FE6,ZS-FZX,ZT-HDD
601803,17 BLUE,17
E48149,PT-WVN,PR-DLR
040255,ET-BBR,ET-BBB
00926E,ZS-GYV,ZS-SLM
00A8E7,ZS-PMC,ZT-HKL
009411,ZS-HOY,ZU-VAS
3B77FC,F-RADB,F-UGSN
0AC8C6,1271,FAC1271
3B7559,F-UGEY,48
AE7807,21-30806,22-30806
7C4CD8,VH-PQG,VH-PGQ
A9E8CE,PR-VBY,N738AL
AE6248,69-6666,69-6662
480850,Q-01,Q-38
00DEC7,ZU-CAT,ZU-STB
AE63D3,65-10361,22-46103
AE18F9,79-0118,79-0082
AE6324,16-72429,19-72429
AE6325,16-72430,19-72430
AE6326,16-72431,19-72431
AE18CB,78-0659,78-0640
45F082,OY-9532,OY-9797
4BB183,TC-LHC,TC-LLC
AE6327,16-72432,19-72432
C03FD4,C-FYEL,CF-YEL
49844C,1525,1526
009922,ZS-JMV,ZU-JPW
3895DC,59CPL,F-JGIU
3FF544,D-MELA,D-MBZF
3FEFE7,D-MHSJ,D-MPSL
ADFDAB,90-00300,90-0300
403190,G-BSIM,G-LEME
AE4E53,168243,168220
E40140,2581,FAB2581
3B7763,0095,F-RBAP
AC5EB4,N8956Q,N8965Q
4D20B6,9H-VTB,9H-1MA
894081,A9C-ISA,A9C-IAB
3B7769,0037,F-RBAJ
A9607C,N706JA,N703JA
881C68,F20-4/52/60449,60449
505DD9,OM-SYN,OM-SNY
3FEF50,D-MCIE,D-MFSD
3B776E,0012,F-RBAE
43E8B1,M-CELT,M-BHOY
AE24FC,166506,166507
407D94,G-NMCF,G-UBET
E400D9,2101,FAB2101
00AFE5,ZS-SCY,ZU-IYR
E47EAF,PT-YTU,PS-TAP
C00B94,C-FEJZ,CF-EJZ
AE24F9,166508,166504
00AD56,ZS-RDT,ZS-RWB
008AA4,ZS-EAD,ZS-KPP
00AF25,ZS-RVO,ZS-KUI
009121,ZS-GMA,ZS-DTW
0091F3,ZS-GUC,ZS-TGP
00A82A,ZS-PEV,ZS-MID
38E03B,F-HGDE,F-WZEA
AE4E50,168218,168217
AAEC6E,N80253,22-0004
3B776B,0031,F-RBAH
008C8E,ZS-ESZ,ZS-MUT
3FEFCA,D-MWHB,D-MGRO
AE6175,164129,165579
AE6155,165587,165385
AE53EE,168327,168292
71C574,HL8754,HL8574
3B7770,0010,F-RBAC
0D0D68,XA-BCR,XA-ICO
